id,city_name,signup_os,signup_channel,signup_date,bgc_date,vehicle_added_date,vehicle_make,vehicle_model,vehicle_year,first_completed_date,days_to_bgc,days_to_vehicle_add,days_to_first_trip,started_driving
1,Strark,ios web,Paid,2016-01-02,,,,,,,,,,0
2,Strark,windows,Paid,2016-01-21,,,,,,,,,,0
3,Wrouver,windows,Organic,2016-01-11,2016-01-11,,,,,,0.0,,,0
4,Berton,android web,Referral,2016-01-29,2016-02-03,2016-02-03,Toyota,Corolla,2016.0,2016-02-03,5.0,5.0,5.0,1
5,Strark,android web,Referral,2016-01-10,2016-01-25,2016-01-26,Hyundai,Sonata,2016.0,,15.0,16.0,,0
6,Strark,android web,Referral,2016-01-18,2016-01-18,2016-01-22,Cadillac,DTS,2006.0,,0.0,4.0,,0
7,Strark,ios web,Paid,2016-01-14,2016-01-16,2016-01-21,Toyota,Prius V,2014.0,2016-01-23,2.0,7.0,9.0,1
8,Strark,ios web,Referral,2016-01-26,2016-02-05,,,,,,10.0,,,0
9,Strark,,Referral,2016-01-05,,,,,,,,,,0
10,Berton,ios web,Paid,2016-01-25,,,,,,,,,,0
11,Strark,ios web,Referral,2016-01-18,2016-02-09,2016-02-24,Kia,Optima,2015.0,,22.0,37.0,,0
12,Berton,mac,Paid,2016-01-04,,,,,,,,,,0
13,Strark,android web,Referral,2016-01-12,2016-01-12,2016-01-12,Kia,Optima,2015.0,2016-01-28,0.0,0.0,16.0,1
14,Strark,ios web,Paid,2016-01-13,2016-01-20,,,,,,7.0,,,0
15,Strark,windows,Paid,2016-01-02,2016-01-07,,,,,,5.0,,,0
16,Strark,windows,Referral,2016-01-15,2016-01-17,2016-01-17,Toyota,Prius V,2015.0,2016-01-16,2.0,2.0,1.0,1
17,Wrouver,ios web,Paid,2016-01-24,,,,,,,,,,0
18,Strark,android web,Paid,2016-01-21,2016-01-25,,,,,,4.0,,,0
19,Berton,ios web,Organic,2016-01-16,2016-01-17,,,,,,1.0,,,0
20,Strark,ios web,Organic,2016-01-07,,,,,,,,,,0
21,Berton,ios web,Paid,2016-01-06,2016-01-15,2016-02-06,Dodge,Durango,2015.0,,9.0,31.0,,0
22,Berton,ios web,Organic,2016-01-08,,,,,,,,,,0
23,Wrouver,ios web,Paid,2016-01-14,2016-01-26,,,,,,12.0,,,0
24,Berton,other,Paid,2016-01-29,,,,,,,,,,0
25,Berton,mac,Organic,2016-01-14,2016-02-26,,,,,,43.0,,,0
26,Strark,windows,Paid,2016-01-14,2016-01-27,,,,,,13.0,,,0
27,Strark,android web,Referral,2016-01-02,2016-01-03,2016-01-28,Mercedes-Benz,C-Class,2016.0,,1.0,26.0,,0
28,Strark,,Organic,2016-01-28,2016-02-12,2016-02-19,Hyundai,Sonata,2016.0,,15.0,22.0,,0
29,Strark,android web,Organic,2016-01-21,2016-02-08,2016-02-22,Infiniti,G Sedan,2010.0,,18.0,32.0,,0
30,Strark,android web,Referral,2016-01-04,2016-01-20,,,,,,16.0,,,0
31,Berton,ios web,Paid,2016-01-02,,,,,,,,,,0
32,Strark,android web,Organic,2016-01-13,2016-02-09,,,,,,27.0,,,0
33,Berton,android web,Referral,2016-01-06,2016-01-12,2016-01-25,Honda,Civic,2015.0,,6.0,19.0,,0
34,Berton,android web,Organic,2016-01-20,2016-01-21,,,,,,1.0,,,0
35,Berton,ios web,Paid,2016-01-26,,,,,,,,,,0
36,Strark,other,Paid,2016-01-20,2016-02-02,,,,,,13.0,,,0
37,Strark,mac,Organic,2016-01-18,2016-01-31,,,,,,13.0,,,0
38,Strark,mac,Referral,2016-01-09,,,,,,,,,,0
39,Strark,windows,Organic,2016-01-11,2016-01-22,,,,,,11.0,,,0
40,Strark,android web,Organic,2016-01-18,2016-02-10,,,,,,23.0,,,0
41,Berton,ios web,Paid,2016-01-17,2016-01-17,,,,,,0.0,,,0
42,Berton,ios web,Paid,2016-01-16,,,,,,,,,,0
43,Strark,ios web,Referral,2016-01-07,2016-01-24,,,,,,17.0,,,0
44,Berton,android web,Referral,2016-01-29,2016-01-30,2016-02-01,Toyota,Corolla,2015.0,2016-02-04,1.0,3.0,6.0,1
45,Strark,mac,Paid,2016-01-14,2016-01-23,,,,,,9.0,,,0
46,Strark,windows,Referral,2016-01-10,2016-01-12,2016-01-15,Honda,Civic,2015.0,2016-01-22,2.0,5.0,12.0,1
47,Strark,ios web,Referral,2016-01-16,2016-02-15,,,,,,30.0,,,0
48,Strark,android web,Paid,2016-01-01,,,,,,,,,,0
49,Strark,mac,Organic,2016-01-04,2016-01-07,,,,,,3.0,,,0
50,Strark,ios web,Organic,2016-01-26,2016-02-04,2016-02-11,Toyota,Prius V,2012.0,,9.0,16.0,,0
51,Berton,android web,Paid,2016-01-22,2016-01-23,,,,,,1.0,,,0
52,Berton,other,Organic,2016-01-06,2016-01-18,,,,,,12.0,,,0
53,Wrouver,ios web,Paid,2016-01-21,2016-01-29,2016-01-30,Fiat,500X,2016.0,,8.0,9.0,,0
54,Berton,windows,Organic,2016-01-07,,,,,,,,,,0
55,Berton,mac,Paid,2016-01-01,2016-01-17,,,,,,16.0,,,0
56,Wrouver,ios web,Organic,2016-01-10,2016-01-19,,,,,,9.0,,,0
